occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Accipiter albogularis","Accipiter albogularis G.R.Gray, 1870","2480617","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter albogularis","Accipiter albogularis","G.R.Gray, 1870","2480617",
,"Accipiter badius","Accipiter badius (Gmelin, 1788)","2480610","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter badius","Accipiter badius","(Gmelin, 1788) ","2480610",
,"Accipiter bicolor","Accipiter bicolor (Vieillot, 1817)","2480599","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter bicolor","Accipiter bicolor","(Vieillot, 1817) ","2480599",
,"Accipiter brachyurus","Accipiter brachyurus (E.P.Ramsay, 1880)","2480585","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter brachyurus","Accipiter brachyurus","(E.P.Ramsay, 1880) ","2480585",
,"Accipiter brevipes","Accipiter brevipes (Severtzov, 1850)","2480578","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter brevipes","Accipiter brevipes","(Severtzov, 1850) ","2480578",
,"Accipiter butleri","Accipiter butleri (Gurney & Jr., 1898)","2480632","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter butleri","Accipiter butleri","(Gurney & Jr., 1898) ","2480632",
,"Accipiter castanilius","Accipiter castanilius Bonaparte, 1853","2480624","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter castanilius","Accipiter castanilius","Bonaparte, 1853","2480624",
,"Accipiter cirrocephalus","Accipiter cirrocephalus (Vieillot, 1817)","2480601","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cirrocephalus","Accipiter cirrocephalus","(Vieillot, 1817) ","2480601",
,"Accipiter collaris","Accipiter collaris P.L.Sclater, 1860","2480593","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter collaris","Accipiter collaris","P.L.Sclater, 1860","2480593",
,"Accipiter cooperii","Accipiter cooperii (Bonaparte, 1828)","2480621","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii","Accipiter cooperii","(Bonaparte, 1828) ","2480621",
,"Accipiter erythrauchen","Accipiter erythrauchen G.R.Gray, 1861","2480582","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter erythrauchen","Accipiter erythrauchen","G.R.Gray, 1861","2480582",
,"Accipiter erythropus","Accipiter erythropus (Hartlaub, 1855)","2480636","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter erythropus","Accipiter erythropus","(Hartlaub, 1855) ","2480636",
,"Accipiter fasciatus","Accipiter fasciatus (Vigors & Horsfield, 1827)","2480626","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter fasciatus","Accipiter fasciatus","(Vigors & Horsfield, 1827) ","2480626",
,"Accipiter francesiae","Accipiter francesiae A.Smith, 1834","5788525","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter francesiae","Accipiter francesiae","A.Smith, 1834","5788525",
,"Accipiter gentilis","Accipiter gentilis (Linnaeus, 1758)","2480589","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis","Accipiter gentilis","(Linnaeus, 1758) ","2480589",
,"Accipiter griseiceps","Accipiter griseiceps (Kaup, 1848)","9794986","EXACT","97","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter griseiceps","Accipiter griseiceps","(Kaup, 1848) ","9794986",
,"Accipiter gularis","Accipiter gularis (Temminck & Schlegel, 1844)","2480583","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gularis","Accipiter gularis","(Temminck & Schlegel, 1844) ","2480583",
,"Accipiter gundlachi","Accipiter gundlachi Lawrence, 1860","2480638","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gundlachi","Accipiter gundlachi","Lawrence, 1860","2480638",
,"Accipiter haplochrous","Accipiter haplochrous P.L.Sclater, 1859","2480622","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter haplochrous","Accipiter haplochrous","P.L.Sclater, 1859","2480622",
,"Accipiter henicogrammus","Accipiter henicogrammus (G.R.Gray, 1861)","2480608","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter henicogrammus","Accipiter henicogrammus","(G.R.Gray, 1861) ","2480608",
,"Accipiter henstii","Accipiter henstii (Schlegel, 1873)","2480600","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter henstii","Accipiter henstii","(Schlegel, 1873) ","2480600",
,"Accipiter hiogaster","Accipiter hiogaster (S.Muller, 1841)","5788526","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter hiogaster","Accipiter hiogaster","(S.Muller, 1841) ","5788526",
,"Accipiter imitator","Accipiter imitator Hartert, 1926","2480618","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter imitator","Accipiter imitator","Hartert, 1926","2480618",
,"Accipiter luteoschistaceus","Accipiter luteoschistaceus Rothschild & Hartert, 1926","2480586","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter luteoschistaceus","Accipiter luteoschistaceus","Rothschild & Hartert, 1926","2480586",
,"Accipiter madagascariensis","Accipiter madagascariensis J.Verreaux, 1833","2480579","EXACT","97","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter madagascariensis","Accipiter madagascariensis","J.Verreaux, 1833","2480579",
,"Accipiter melanochlamys","Accipiter melanochlamys (Salvadori, 1876)","2480634","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter melanochlamys","Accipiter melanochlamys","(Salvadori, 1876) ","2480634",
,"Accipiter melanoleucus","Accipiter melanoleucus A.Smith, 1830","2480631","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter melanoleucus","Accipiter melanoleucus","A.Smith, 1830","2480631",
,"Accipiter meyerianus","Accipiter meyerianus (Sharpe, 1878)","2480602","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter meyerianus","Accipiter meyerianus","(Sharpe, 1878) ","2480602",
,"Accipiter minullus","Accipiter minullus (Daudin, 1800)","2480594","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter minullus","Accipiter minullus","(Daudin, 1800) ","2480594",
,"Accipiter nanus","Accipiter nanus (W.Blasius, 1897)","2480630","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nanus","Accipiter nanus","(W.Blasius, 1897) ","2480630",
,"Accipiter nisus","Accipiter nisus (Linnaeus, 1758)","2480637","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","Accipiter nisus","(Linnaeus, 1758) ","2480637",
,"Accipiter novaehollandiae","Accipiter novaehollandiae (Gmelin, 1788)","2480629","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter novaehollandiae","Accipiter novaehollandiae","(Gmelin, 1788) ","2480629",
,"Accipiter ovampensis","Accipiter ovampensis Gurney, 1875","2480587","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter ovampensis","Accipiter ovampensis","Gurney, 1875","2480587",
,"Accipiter poliocephalus","Accipiter poliocephalus G.R.Gray, 1858","2480607","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter poliocephalus","Accipiter poliocephalus","G.R.Gray, 1858","2480607",
,"Accipiter poliogaster","Accipiter poliogaster (Temminck, 1824)","2480597","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter poliogaster","Accipiter poliogaster","(Temminck, 1824) ","2480597",
,"Accipiter princeps","Accipiter princeps Mayr, 1934","2480584","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter princeps","Accipiter princeps","Mayr, 1934","2480584",
,"Accipiter rhodogaster","Accipiter rhodogaster (Schlegel, 1862)","2480639","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter rhodogaster","Accipiter rhodogaster","(Schlegel, 1862) ","2480639",
,"Accipiter rufitorques","Accipiter rufitorques (Peale, 1848)","2480623","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter rufitorques","Accipiter rufitorques","(Peale, 1848) ","2480623",
,"Accipiter rufiventris","Accipiter rufiventris A.Smith, 1830","2480609","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter rufiventris","Accipiter rufiventris","A.Smith, 1830","2480609",
,"Accipiter soloensis","Accipiter soloensis (Horsfield, 1821)","2480588","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter soloensis","Accipiter soloensis","(Horsfield, 1821) ","2480588",
,"Accipiter striatus","Accipiter striatus Vieillot, 1808","9740253","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","Accipiter striatus","Vieillot, 1808","9740253",
,"Accipiter superciliosus","Accipiter superciliosus (Linnaeus, 1766)","2480580","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter superciliosus","Accipiter superciliosus","(Linnaeus, 1766) ","2480580",
,"Accipiter sylvestris","Accipiter sylvestris Wallace, 1864","8726466","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter sylvestris","Accipiter sylvestris","Wallace, 1864","8726466",
,"Accipiter tachiro","Accipiter tachiro (Daudin, 1800)","2480635","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter tachiro","Accipiter tachiro","(Daudin, 1800) ","2480635",
,"Accipiter toussenelii","Accipiter toussenelii (J.Verreaux, E.Verreaux & Des Murs, 1855)","2480625","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter toussenelii","Accipiter toussenelii","(J.Verreaux, E.Verreaux & Des Murs, 1855) ","2480625",
,"Accipiter trinotatus","Accipiter trinotatus Bonaparte, 1850","2480611","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter trinotatus","Accipiter trinotatus","Bonaparte, 1850","2480611",
,"Accipiter trivirgatus","Accipiter trivirgatus (Temminck, 1824)","2480603","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter trivirgatus","Accipiter trivirgatus","(Temminck, 1824) ","2480603",
,"Accipiter virgatus","Accipiter virgatus (Temminck, 1822)","2480595","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter virgatus","Accipiter virgatus","(Temminck, 1822) ","2480595",
,"Aegypius monachus","Aegypius monachus (Linnaeus, 1766)","5229165","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius","Aegypius monachus","Aegypius monachus","(Linnaeus, 1766) ","5229165",
,"Aquila adalberti","Aquila adalberti C.L.Brehm, 1861","2480510","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila adalberti","Aquila adalberti","C.L.Brehm, 1861","2480510",
,"Aquila africana","Aquila africana (Cassin, 1865)","5844477","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila africana","Aquila africana","(Cassin, 1865) ","5844477",
,"Aquila audax","Aquila audax (Latham, 1802)","5229181","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila audax","Aquila audax","(Latham, 1802) ","5229181",
,"Aquila chrysaetos","Aquila chrysaetos (Linnaeus, 1758)","2480506","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos","Aquila chrysaetos","(Linnaeus, 1758) ","2480506",
,"Aquila fasciata","Aquila fasciata Vieillot, 1822","5844449","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila fasciata","Aquila fasciata","Vieillot, 1822","5844449",
,"Aquila gurneyi","Aquila gurneyi G.R.Gray, 1861","5229189","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila gurneyi","Aquila gurneyi","G.R.Gray, 1861","5229189",
,"Aquila heliaca","Aquila heliaca Savigny, 1809","2480500","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca","Aquila heliaca","Savigny, 1809","2480500",
