"","x"
"1","Cyanomitra bannermani"
"2","Cyanomitra cyanolaema"
"3","Cyanomitra olivacea"
"4","Cyanomitra oritis"
"5","Cyanomitra verreauxii"
"6","Cyanomitra verticalis"
"7","Deleornis axillaris"
"8","Deleornis fraseri"
"9","Drepanorhynchus reichenowi"
"10","Dreptes thomensis"
"11","Hedydipna collaris"
"12","Hedydipna metallica"
"13","Hedydipna pallidigaster"
"14","Hedydipna platura"
"15","Kurochkinegramma hypogrammica"
"16","Leptocoma aspasia"
"17","Leptocoma brasiliana"
"18","Leptocoma calcostetha"
"19","Leptocoma juliae"
"20","Leptocoma minima"
"21","Leptocoma sperata"
"22","Leptocoma zeylonica"
"23","Nectarinia bocagii"
"24","Nectarinia famosa"
"25","Nectarinia johnstoni"
"26","Nectarinia kilimensis"
"27","Nectarinia purpureiventris"
"28","Nectarinia tacazze"
"29","Daphoenositta chrysoptera"
"30","Daphoenositta miranda"
"31","Daphoenositta papuensis"
"32","Nesospingus speculiferus"
"33","Nicator chloris"
"34","Nicator gularis"
"35","Nicator vireo"
"36","Notiomystis cincta"
"37","Aleadryas rufinucha"
"38","Oreoica gutturalis"
"39","Ornorectes cristatus"
"40","Oriolus albiloris"
"41","Oriolus auratus"
"42","Oriolus bouroensis"
"43","Oriolus brachyrynchus"
"44","Oriolus chinensis"
"45","Oriolus chlorocephalus"
"46","Oriolus consanguineus"
"47","Oriolus crassirostris"
"48","Oriolus cruentus"
"49","Oriolus decipiens"
"50","Oriolus finschi"
"51","Oriolus flavocinctus"
"52","Oriolus forsteni"
"53","Oriolus hosii"
"54","Oriolus isabellae"
"55","Oriolus kundoo"
"56","Oriolus larvatus"
"57","Oriolus melanotis"
"58","Oriolus mellianus"
"59","Oriolus monacha"
"60","Oriolus nigripennis"
"61","Oriolus oriolus"
"62","Oriolus percivali"
"63","Oriolus phaeochromus"
"64","Oriolus sagittatus"
"65","Oriolus steerii"
"66","Oriolus szalayi"
"67","Oriolus tenuirostris"
"68","Oriolus traillii"
"69","Oriolus xanthonotus"
"70","Oriolus xanthornus"
"71","Pitohui cerviniventris"
"72","Pitohui dichrous"
"73","Pitohui kirhocephalus"
"74","Pitohui uropygialis"
"75","Sphecotheres hypoleucus"
"76","Sphecotheres vieilloti"
"77","Sphecotheres viridis"
"78","Orthonyx novaeguineae"
"79","Orthonyx spaldingii"
"80","Orthonyx temminckii"
"81","Colluricincla boweri"
"82","Colluricincla harmonica"
"83","Colluricincla megarhyncha"
"84","Colluricincla tenebrosa"
"85","Colluricincla woodwardi"
"86","Coracornis raveni"
"87","Coracornis sanghirensis"
"88","Melanorectes nigrescens"
"89","Pachycephala albiventris"
"90","Pachycephala arctitorquis"
"91","Pachycephala aurea"
"92","Pachycephala caledonica"
"93","Pachycephala cinerea"
"94","Pachycephala feminina"
"95","Pachycephala flavifrons"
"96","Pachycephala fulvotincta"
"97","Pachycephala griseiceps"
"98","Pachycephala griseonota"
"99","Pachycephala homeyeri"
"100","Pachycephala hyperythra"
"101","Pachycephala hypoxantha"
"102","Pachycephala implicata"
"103","Pachycephala inornata"
"104","Pachycephala jacquinoti"
"105","Pachycephala lanioides"
"106","Pachycephala leucogastra"
"107","Pachycephala lorentzi"
"108","Pachycephala melanura"
"109","Pachycephala mentalis"
"110","Pachycephala meyeri"
"111","Pachycephala modesta"
"112","Pachycephala monacha"
"113","Pachycephala nudigula"
"114","Pachycephala olivacea"
"115","Pachycephala orioloides"
"116","Pachycephala orpheus"
"117","Pachycephala par"
"118","Pachycephala pectoralis"
"119","Pachycephala phaionota"
"120","Pachycephala philippinensis"
"121","Pachycephala richardsi"
"122","Pachycephala rufiventris"
"123","Pachycephala rufogularis"
"124","Pachycephala schlegelii"
"125","Pachycephala simplex"
"126","Pachycephala soror"
"127","Pachycephala sulfuriventer"
"128","Pachycephala tenebrosa"
"129","Pachycephala teysmanni"
"130","Pachycephala vitiensis"
"131","Pseudorectes ferrugineus"
"132","Pseudorectes incertus"
"133","Panurus biarmicus"
"134","Astrapia mayeri"
"135","Astrapia nigra"
"136","Astrapia rothschildi"
"137","Astrapia splendidissima"
"138","Astrapia stephaniae"
"139","Cicinnurus magnificus"
"140","Cicinnurus regius"
"141","Cicinnurus respublica"
"142","Drepanornis albertisi"
"143","Drepanornis bruijnii"
"144","Epimachus fastosus"
"145","Epimachus meyeri"
"146","Lophorina feminina"
"147","Lophorina intercedens"
"148","Lophorina magnifica"
"149","Lophorina minor"
"150","Lophorina paradisea"
"151","Lophorina superba"
"152","Lophorina victoriae"
"153","Lycocorax obiensis"
"154","Lycocorax pyrrhopterus"
"155","Manucodia ater"
"156","Manucodia chalybatus"
"157","Manucodia comrii"
"158","Manucodia jobiensis"
"159","Paradigalla brevicauda"
"160","Paradigalla carunculata"
"161","Paradisaea apoda"
"162","Paradisaea decora"
"163","Paradisaea guilielmi"
"164","Paradisaea minor"
"165","Paradisaea raggiana"
"166","Paradisaea rubra"
"167","Paradisornis rudolphi"
"168","Parotia berlepschi"
"169","Parotia carolae"
"170","Parotia lawesii"
"171","Parotia sefilata"
"172","Parotia wahnesi"
"173","Phonygammus keraudrenii"
"174","Pteridophora alberti"
"175","Seleucidis melanoleucus"
"176","Semioptera wallacii"
"177","Oreocharis arfaki"
"178","Paramythia montium"
"179","Paramythia olivacea"
"180","Pardalotus punctatus"
"181","Pardalotus quadragintus"
"182","Pardalotus rubricatus"
"183","Pardalotus striatus"
"184","Baeolophus atricristatus"
"185","Baeolophus bicolor"
"186","Baeolophus inornatus"
"187","Baeolophus ridgwayi"
"188","Baeolophus wollweberi"
"189","Cephalopyrus flammiceps"
"190","Cyanistes caeruleus"
"191","Cyanistes cyanus"
"192","Cyanistes teneriffae"
"193","Lophophanes cristatus"
"194","Lophophanes dichrous"
"195","Machlolophus holsti"
"196","Machlolophus nuchalis"
"197","Machlolophus spilonotus"
"198","Machlolophus xanthogenys"
"199","Melaniparus afer"
"200","Melaniparus albiventris"
"201","Melaniparus carpi"
"202","Melaniparus cinerascens"
"203","Melaniparus fasciiventer"
"204","Melaniparus fringillinus"
"205","Melaniparus funereus"
"206","Melaniparus griseiventris"
"207","Melaniparus guineensis"
"208","Melaniparus leucomelas"
"209","Melaniparus leuconotus"
"210","Melaniparus niger"
"211","Melaniparus pallidiventris"
"212","Melaniparus rufiventris"
"213","Melaniparus thruppi"
"214","Melanochlora sultanea"
"215","Pardaliparus amabilis"
"216","Pardaliparus elegans"
"217","Pardaliparus venustulus"
"218","Parus major"
"219","Parus monticolus"
"220","Periparus ater"
"221","Periparus rubidiventris"
"222","Periparus rufonuchalis"
"223","Poecile atricapillus"
"224","Poecile carolinensis"
"225","Poecile cinctus"
"226","Poecile davidi"
"227","Poecile gambeli"
"228","Poecile hudsonicus"
"229","Poecile hypermelaenus"
"230","Poecile hyrcanus"
"231","Poecile lugubris"
"232","Poecile montanus"
"233","Poecile palustris"
"234","Poecile rufescens"
"235","Poecile sclateri"
"236","Poecile superciliosus"
"237","Poecile weigoldicus"
"238","Pseudopodoces humilis"
"239","Sittiparus castaneoventris"
"240","Sittiparus olivaceus"
"241","Sittiparus owstoni"
"242","Sittiparus semilarvatus"
"243","Sittiparus varius"
"244","Sylviparus modestus"
"245","Basileuterus auricapilla"
"246","Basileuterus belli"
"247","Basileuterus cabanisi"
"248","Basileuterus culicivorus"
"249","Basileuterus griseiceps"
"250","Basileuterus hypoleucus"
"251","Basileuterus ignotus"
"252","Basileuterus lachrymosus"
"253","Basileuterus melanogenys"
"254","Basileuterus rufifrons"
"255","Basileuterus trifasciatus"
"256","Basileuterus tristriatus"
"257","Cardellina canadensis"
"258","Cardellina pusilla"
"259","Cardellina rubra"
"260","Cardellina rubrifrons"
"261","Cardellina versicolor"
"262","Catharopeza bishopi"
"263","Geothlypis aequinoctialis"
"264","Geothlypis auricularis"
"265","Geothlypis bairdi"
"266","Geothlypis beldingi"
"267","Geothlypis chiriquensis"
"268","Geothlypis flavovelata"
"269","Geothlypis formosa"
"270","Geothlypis nelsoni"
"271","Geothlypis philadelphia"
"272","Geothlypis poliocephala"
"273","Geothlypis rostrata"
"274","Geothlypis semiflava"
"275","Geothlypis speciosa"
"276","Geothlypis tolmiei"
"277","Geothlypis trichas"
"278","Helmitheros vermivorum"
"279","Leiothlypis celata"
"280","Leiothlypis crissalis"
"281","Leiothlypis luciae"
"282","Leiothlypis peregrina"
"283","Leiothlypis ruficapilla"
"284","Leiothlypis virginiae"
"285","Leucopeza semperi"
"286","Limnothlypis swainsonii"
"287","Mniotilta varia"
"288","Myioborus albifacies"
"289","Myioborus albifrons"
"290","Myioborus brunniceps"
"291","Myioborus cardonai"
"292","Myioborus castaneocapilla"
"293","Myioborus chrysops"
"294","Myioborus flavivertex"
"295","Myioborus melanocephalus"
"296","Myioborus miniatus"
"297","Myioborus ornatus"
"298","Myioborus pariae"
"299","Myioborus pictus"
"300","Myioborus torquatus"
"301","Myiothlypis basilica"
"302","Myiothlypis bivittata"
"303","Myiothlypis chlorophrys"
"304","Myiothlypis chrysogaster"
"305","Myiothlypis cinereicollis"
"306","Myiothlypis conspicillata"
"307","Myiothlypis coronata"
"308","Myiothlypis euophrys"
"309","Myiothlypis flaveola"
"310","Myiothlypis fraseri"
"311","Myiothlypis fulvicauda"
"312","Myiothlypis leucoblephara"
"313","Myiothlypis leucophrys"
"314","Myiothlypis luteoviridis"
"315","Myiothlypis mesoleuca"
"316","Myiothlypis nigrocristata"
"317","Myiothlypis rivularis"
"318","Myiothlypis roraimae"
"319","Myiothlypis signata"
"320","Myiothlypis striaticeps"
"321","Oporornis agilis"
"322","Oreothlypis gutturalis"
"323","Oreothlypis superciliosa"
"324","Parkesia motacilla"
"325","Parkesia noveboracensis"
"326","Protonotaria citrea"
"327","Seiurus aurocapilla"
"328","Setophaga adelaidae"
"329","Setophaga americana"
"330","Setophaga angelae"
"331","Setophaga auduboni"
"332","Setophaga caerulescens"
"333","Setophaga castanea"
"334","Setophaga cerulea"
"335","Setophaga chrysoparia"
"336","Setophaga citrina"
"337","Setophaga coronata"
"338","Setophaga delicata"
"339","Setophaga discolor"
"340","Setophaga dominica"
"341","Setophaga flavescens"
"342","Setophaga fusca"
"343","Setophaga graciae"
"344","Setophaga graysoni"
"345","Setophaga kirtlandii"
"346","Setophaga magnolia"
"347","Setophaga nigrescens"
"348","Setophaga occidentalis"
"349","Setophaga palmarum"
"350","Setophaga pensylvanica"
"351","Setophaga petechia"
"352","Setophaga pharetra"
"353","Setophaga pinus"
"354","Setophaga pitiayumi"
"355","Setophaga pityophila"
"356","Setophaga plumbea"
